rider_id,home_market,home_cluster,baseline_annual_ride_rate,total_attendance,unique_studios,unique_instructors,familiarity_degree,social_degree,coordination_count,coattendance_degree
R002585,Chicago,Chicago,22.55269121251618,25,2,10,1,0,0,17
R002586,South Florida,Miami,2.6943634833663173,2,1,2,0,0,0,1
R002587,Southern California,Los Angeles,35.270297927004904,41,3,14,0,0,0,25
R002588,Seattle,Seattle,14.018704685814615,11,1,5,0,0,0,7
R002589,Greater NYC,Uptown Manhattan,1.0,0,0,0,0,0,0,0
R002590,Greater NYC,Uptown Manhattan,1.0,2,2,2,0,0,0,1
R002591,Seattle,Seattle,7.201136127119158,11,1,5,0,0,0,8
R002592,DMV,Montgomery County,7.176324180094901,3,1,3,0,0,0,2
R002593,South Florida,Miami,1.3982278678080935,0,0,0,0,0,0,0
R002594,Greater NYC,North Jersey,1.0519064457727632,1,1,1,0,0,0,1
R002595,Chicago,Chicago,7.538042369551032,12,2,8,0,0,0,6
R002596,South Florida,Miami,6.233055205647433,4,2,2,0,0,0,3
R002597,Greater NYC,Lower Manhattan–North Brooklyn,14.011059139934522,11,6,11,0,0,0,10
R002598,Greater NYC,Lower Manhattan–North Brooklyn,20.873598769555027,23,6,20,0,0,0,21
R002599,Dallas,Dallas,6.176389770941956,3,1,3,0,0,0,3
R002600,Northern California,San Francisco,17.11189461726082,22,2,14,0,0,0,15
R002601,Greater NYC,Uptown Manhattan,1.8986385557290344,6,3,5,0,0,0,5
R002602,Greater NYC,Uptown Manhattan,17.86556853905847,12,3,9,0,0,0,12
R002603,Greater NYC,Lower Manhattan–North Brooklyn,1.0,0,0,0,0,0,0,0
R002604,DMV,DC–Arlington,5.247724934031313,8,3,6,0,0,0,7
R002605,Southern California,Los Angeles,1.0,2,1,2,0,0,0,2
R002606,Philadelphia,Main Line,1.329796013665015,0,0,0,0,0,0,0
R002607,DMV,DC–Arlington,1.0,1,1,1,0,0,0,1
R002608,Greater NYC,Midtown Manhattan,10.926026646104022,15,4,13,0,0,0,12
R002609,Atlanta,Atlanta,5.319035163804254,5,1,3,0,0,0,4
R002610,DMV,DC–Arlington,1.0,1,1,1,0,0,0,1
R002611,Southern California,Los Angeles,12.530431656008586,18,3,11,0,0,0,7
R002612,Greater NYC,Lower Manhattan–North Brooklyn,37.63263815194508,29,7,23,0,0,0,25
R002613,Houston,Houston,2.0704448292641677,3,1,2,0,0,0,3
R002614,Chicago,Chicago,1.6644422186948191,1,1,1,0,0,0,1
R002615,Seattle,Seattle,1.0671223263947445,5,1,4,0,0,0,5
R002616,South Florida,Miami,2.0417385058249335,2,1,2,0,0,0,1
R002617,Greater NYC,Uptown Manhattan,1.0,1,1,1,0,0,0,1
R002618,Greater NYC,Westchester,18.262037915719095,17,4,14,0,0,0,9
R002619,Greater NYC,Uptown Manhattan,23.14946701222018,23,5,17,0,0,0,21
R002620,Greater NYC,Lower Manhattan–North Brooklyn,5.274669330116876,6,3,5,0,0,0,4
R002621,Greater NYC,Midtown Manhattan,1.0283339027641056,3,1,3,0,0,0,2
R002622,Greater NYC,Lower Manhattan–North Brooklyn,1.0,0,0,0,0,0,0,0
R002623,Northern California,San Francisco,59.47501248431991,49,3,18,0,0,0,37
R002624,Greater NYC,Midtown Manhattan,1.0,0,0,0,0,0,0,0
R002625,Greater NYC,Uptown Manhattan,1.7167960766650268,0,0,0,0,0,0,0
R002626,Greater NYC,Westchester,1.1167114734185524,1,1,1,0,0,0,1
R002627,Greater NYC,Midtown Manhattan,6.476799367309302,2,2,2,0,0,0,2
R002628,Greater NYC,Lower Manhattan–North Brooklyn,1.0,1,1,1,0,0,0,1
R002629,Boston,Chestnut Hill,4.184203640487617,4,1,3,0,0,0,3
R002630,DMV,DC–Arlington,2.924489535910744,2,2,2,0,0,0,2
R002631,Greater NYC,Hudson County,3.219632298709913,5,2,5,0,0,0,3
R002632,Philadelphia,Main Line,60.73946420254387,70,2,9,0,0,0,46
R002633,Greater NYC,Uptown Manhattan,4.177736119323607,6,3,5,0,0,0,5
R002634,Philadelphia,Philadelphia,1.0,1,1,1,0,0,0,1
R002635,Boston,Boston,3.714095888294777,4,2,4,0,0,0,3
R002636,Greater NYC,Lower Manhattan–North Brooklyn,6.758181280193957,5,3,5,0,0,0,3
R002637,Greater NYC,Nassau County,28.081588766604593,20,4,15,0,0,0,19
R002638,Austin,Austin,25.015331831922623,24,1,8,0,0,0,17
R002639,Southern California,Los Angeles,1.0,0,0,0,0,0,0,0
R002640,Greater NYC,Lower Manhattan–North Brooklyn,7.964873234342493,4,3,4,0,0,0,4
R002641,DMV,Montgomery County,1.0,0,0,0,0,0,0,0
R002642,Boston,Chestnut Hill,3.9237999116338607,1,1,1,0,0,0,1
R002643,Atlanta,Atlanta,17.63662283260371,19,1,4,0,0,0,14
R002644,Boston,Boston,48.835457960298335,52,3,13,0,0,0,38
R002645,Boston,Chestnut Hill,1.962519946939882,4,2,3,0,0,0,1
R002646,Southern California,Los Angeles,8.590231037105458,8,2,6,0,0,0,5
R002647,Greater NYC,Lower Manhattan–North Brooklyn,4.273186857767778,4,2,4,0,0,0,4
R002648,Greater NYC,Lower Manhattan–North Brooklyn,4.36505072120118,1,1,1,0,0,0,1
R002649,Greater NYC,Fairfield County,12.09290032641184,12,4,12,0,0,0,10
R002650,Philadelphia,Main Line,7.082401377886817,8,2,6,0,0,0,7
R002651,Chicago,Chicago,5.212993735299664,5,2,4,0,0,0,4
R002652,Boston,Boston,18.03373960941286,19,3,10,0,0,0,14
R002653,Greater NYC,Lower Manhattan–North Brooklyn,16.444630199298523,14,6,10,0,0,0,13
R002654,Greater NYC,Lower Manhattan–North Brooklyn,2.9982518383669605,1,1,1,0,0,0,1
R002655,Greater NYC,Lower Manhattan–North Brooklyn,68.32181498247316,77,6,40,0,0,0,62
R002656,Northern California,San Francisco,2.5267469519394745,1,1,1,0,0,0,1
R002657,Chicago,Chicago,2.061190392754314,1,1,1,0,0,0,1
R002658,South Florida,Miami,1.0,0,0,0,0,0,0,0
R002659,DMV,DC–Arlington,1.879019041837992,3,2,2,0,0,0,3
R002660,Philadelphia,Philadelphia,1.0,1,1,1,0,0,0,1
R002661,Southern California,Los Angeles,11.403571140042912,13,4,10,0,0,0,10
R002662,South Florida,Miami,14.046113573155296,11,2,6,0,0,0,9
R002663,Boston,Chestnut Hill,7.939996242573588,5,1,4,0,0,0,4
R002664,Philadelphia,Main Line,12.669143628450271,17,2,8,0,0,0,14
R002665,DMV,DC–Arlington,11.326922258825396,8,3,8,0,0,0,7
R002666,Greater NYC,Midtown Manhattan,1.0,1,1,1,0,0,0,1
R002667,Philadelphia,Main Line,4.326655828766519,2,1,2,0,0,0,1
R002668,Chicago,Chicago,2.789763983414764,2,2,2,0,0,0,2
R002669,Southern California,Los Angeles,13.406887238525748,15,4,12,0,0,0,9
R002670,DMV,DC–Arlington,8.781359705532735,5,3,5,0,0,0,4
R002671,Southern California,Pasadena,6.774926309988147,10,1,5,0,0,0,7
R002672,Southern California,Los Angeles,18.492686007511193,15,2,11,0,0,0,12
R002673,Dallas,Dallas,2.6229332023980407,3,1,2,0,0,0,1
R002674,Boston,Boston,21.414256314403374,24,2,10,0,0,0,15
R002675,Boston,Chestnut Hill,32.19694129603556,33,1,8,2,0,0,20
R002676,DMV,DC–Arlington,5.229914141134842,6,2,6,0,0,0,3
R002677,DMV,DC–Arlington,8.401961489618483,12,3,8,0,0,0,11
R002678,Philadelphia,Main Line,5.681859009827022,5,1,5,0,0,0,4
R002679,Greater NYC,Lower Manhattan–North Brooklyn,4.541627352391556,6,4,5,0,0,0,6
R002680,Philadelphia,Philadelphia,1.3231592036711497,0,0,0,0,0,0,0
R002681,Greater NYC,Lower Manhattan–North Brooklyn,1.101988830676708,0,0,0,0,0,0,0
R002682,Chicago,Chicago,1.0,0,0,0,0,0,0,0
R002683,Southern California,Los Angeles,5.271816489248155,7,3,5,0,0,0,4
R002684,Ann Arbor,Ann Arbor,8.526515944468379,9,1,3,0,0,0,4
R002685,Southern California,Los Angeles,3.8994635143951024,0,0,0,0,0,0,0
R002686,Greater NYC,Midtown Manhattan,2.4083416117676046,4,2,4,0,0,0,1
R002687,South Florida,Miami,30.147594328802768,28,2,7,0,0,0,15
R002688,Southern California,Los Angeles,16.762851908285427,16,3,10,0,0,0,11
R002689,Chicago,Chicago,1.6164670044304708,1,1,1,0,0,0,1
R002690,Greater NYC,Lower Manhattan–North Brooklyn,2.6276212042487206,5,1,4,0,0,0,5
R002691,Northern California,San Francisco,7.133631488247821,11,3,9,0,0,0,9
R002692,Greater NYC,Fairfield County,2.698850300141384,5,3,5,0,0,0,3
R002693,Greater NYC,Uptown Manhattan,6.677602451261271,8,3,8,0,0,0,8
R002694,Boston,Boston,5.977020565895736,5,2,4,0,0,0,2
R002695,Chicago,Chicago,8.10819230917284,8,2,6,0,0,0,5
R002696,Greater NYC,Uptown Manhattan,89.67827071988096,82,4,36,0,0,0,68
R002697,Greater NYC,Uptown Manhattan,9.919209391235478,6,3,6,0,0,0,5
R002698,Greater NYC,Midtown Manhattan,21.6615216376987,29,6,22,0,0,0,24
R002699,Dallas,Dallas,6.702890346281659,5,1,4,0,0,0,5
R002700,Greater NYC,Lower Manhattan–North Brooklyn,6.93903041744218,6,4,6,0,0,0,4
R002701,Southern California,Los Angeles,6.073580224006782,5,3,4,0,0,0,2
R002702,South Florida,Miami,2.690107639402456,7,2,3,0,0,0,6
R002703,Dallas,Dallas,2.0498570014169792,1,1,1,0,0,0,1
R002704,Chicago,Chicago,7.498456694433345,11,2,7,0,0,0,4
R002705,Boston,Chestnut Hill,12.307397980463184,12,3,8,0,0,0,8
R002706,DMV,Montgomery County,3.64936707799344,3,2,3,0,0,0,0
R002707,Greater NYC,Uptown Manhattan,20.203349942607375,19,3,16,0,0,0,17
R002708,Greater NYC,Lower Manhattan–North Brooklyn,1.3744589967166048,0,0,0,0,0,0,0
R002709,Greater NYC,Westchester,4.101116811933377,3,1,2,0,0,0,1
R002710,Northern California,San Francisco,13.05731593406899,13,2,9,0,0,0,10
R002711,Northern California,Marin County,18.118287515787223,19,2,10,0,0,0,15
R002712,Dallas,Dallas,1.0,0,0,0,0,0,0,0
R002713,Philadelphia,Main Line,1.257150548787541,0,0,0,0,0,0,0
R002714,Greater NYC,Lower Manhattan–North Brooklyn,38.93780777992227,33,8,24,0,0,0,28
R002715,Greater NYC,Lower Manhattan–North Brooklyn,28.77990734279122,35,6,21,0,0,0,32
R002716,Northern California,San Francisco,4.332865686820361,2,2,2,0,0,0,2
R002717,Greater NYC,Lower Manhattan–North Brooklyn,5.114851497016607,7,5,6,0,0,0,5
R002718,DMV,DC–Arlington,6.270862429750684,11,3,10,0,0,0,5
R002719,DMV,DC–Arlington,11.269235725412337,15,3,11,0,0,0,15
R002720,Southern California,Los Angeles,1.0,3,2,3,0,0,0,3
R002721,Austin,Austin,1.588128711788272,5,1,4,0,0,0,3
R002722,Greater NYC,Lower Manhattan–North Brooklyn,2.974124166619476,2,2,2,0,0,0,2
R002723,Southern California,Los Angeles,2.5936492434468623,2,2,2,0,0,0,2
R002724,Northern California,San Francisco,1.0,2,1,2,0,0,0,2
R002725,Boston,Chestnut Hill,139.2352720005308,149,2,14,2,0,0,90
R002726,Greater NYC,Uptown Manhattan,1.0,1,1,1,0,0,0,1
R002727,Greater NYC,Lower Manhattan–North Brooklyn,1.0,2,2,2,0,0,0,2
R002728,Greater NYC,Midtown Manhattan,5.217344175458826,8,2,6,0,0,0,6
R002729,Chicago,Chicago,4.670918711365266,7,2,6,0,0,0,6
R002730,Greater NYC,Lower Manhattan–North Brooklyn,2.696559967177882,1,1,1,0,0,0,1
R002731,Seattle,Seattle,3.3665938411248835,3,1,2,0,0,0,3
R002732,South Florida,Miami,3.314525693028129,5,2,3,0,0,0,4
R002733,Greater NYC,Lower Manhattan–North Brooklyn,16.989627597528848,17,5,13,0,0,0,13
R002734,Greater NYC,Lower Manhattan–North Brooklyn,10.136680796694602,12,4,9,0,0,0,8
R002735,Greater NYC,Lower Manhattan–North Brooklyn,1.4082756012268076,0,0,0,0,0,0,0
R002736,Greater NYC,Uptown Manhattan,2.5221871343653732,1,1,1,0,0,0,0
R002737,Greater NYC,Uptown Manhattan,5.116339836299636,6,4,6,0,0,0,5
R002738,Dallas,Dallas,1.0,0,0,0,0,0,0,0
R002739,Greater NYC,Lower Manhattan–North Brooklyn,1.863630844723685,3,3,3,0,0,0,3
R002740,Philadelphia,Main Line,6.766528335071621,9,2,7,0,0,0,7
R002741,Houston,Houston,1.3867298602359956,0,0,0,0,0,0,0
R002742,Philadelphia,Main Line,1.3184846385880378,1,1,1,0,0,0,0
R002743,Greater NYC,Lower Manhattan–North Brooklyn,36.000983959811904,39,8,31,0,0,0,30
R002744,Greater NYC,Lower Manhattan–North Brooklyn,13.341494380545695,13,6,12,0,0,0,12
R002745,Greater NYC,Lower Manhattan–North Brooklyn,4.06476416677933,2,2,2,0,0,0,2
R002746,DMV,DC–Arlington,1.2249184982629855,1,1,1,0,0,0,1
R002747,Greater NYC,Nassau County,3.3159521654219675,2,1,2,0,0,0,2
R002748,DMV,Montgomery County,200.0,223,3,18,10,0,0,123
R002749,Greater NYC,Lower Manhattan–North Brooklyn,14.20979670821477,12,5,10,0,0,0,11
R002750,Northern California,Silicon Valley,88.61644798505058,83,3,13,6,1,3,43
R002751,Greater NYC,Uptown Manhattan,19.579526047163956,17,4,13,0,0,0,14
R002752,Greater NYC,Midtown Manhattan,21.38944493859643,14,5,13,0,0,0,11
R002753,Greater NYC,Midtown Manhattan,1.0,1,1,1,0,0,0,1
R002754,Greater NYC,Nassau County,1.0,1,1,1,0,0,0,1
R002755,Northern California,Silicon Valley,3.2235123227699045,4,2,4,0,0,0,3
R002756,Philadelphia,Main Line,10.279686613631718,11,1,7,0,0,0,9
R002757,Chicago,Chicago,3.1117113078227434,3,1,2,0,0,0,3
R002758,Greater NYC,Lower Manhattan–North Brooklyn,8.658020088598708,8,4,7,0,0,0,7
R002759,Northern California,San Francisco,4.194508475593801,3,2,3,0,0,0,2
R002760,Chicago,Chicago,1.352776303966532,0,0,0,0,0,0,0
R002761,Greater NYC,Lower Manhattan–North Brooklyn,20.24241327354996,21,6,17,0,0,0,15
R002762,Greater NYC,Midtown Manhattan,11.581690744274429,11,5,8,0,0,0,10
R002763,Chicago,Chicago,1.9259068686515377,2,1,1,0,0,0,2
R002764,Greater NYC,Uptown Manhattan,10.83740779061313,9,3,6,0,0,0,8
R002765,Greater NYC,Lower Manhattan–North Brooklyn,5.639921452925502,5,4,5,0,0,0,4
R002766,Southern California,Los Angeles,1.1760620599503269,1,1,1,0,0,0,0
R002767,Greater NYC,Lower Manhattan–North Brooklyn,24.386251915007737,29,6,22,0,0,0,24
R002768,Chicago,Chicago,1.0,0,0,0,0,0,0,0
R002769,South Florida,Miami,188.89087613261023,171,2,7,7,1,2,78
R002770,Boston,Chestnut Hill,2.321011502639982,2,1,2,0,0,0,1
R002771,Greater NYC,Fairfield County,1.0163786426866237,3,2,3,0,0,0,3
R002772,Greater NYC,Midtown Manhattan,15.095454704280504,19,4,13,0,0,0,15
R002773,Greater NYC,Uptown Manhattan,4.392618671130981,5,2,5,0,0,0,5
R002774,Greater NYC,Midtown Manhattan,5.448079680487637,4,3,4,0,0,0,3
R002775,Northern California,Silicon Valley,21.800887907075825,21,3,12,0,0,0,19
R002776,Greater NYC,Westchester,14.737052585343054,10,4,9,0,0,0,9
R002777,Greater NYC,Lower Manhattan–North Brooklyn,4.876330881234168,3,2,3,0,0,0,2
R002778,Greater NYC,Midtown Manhattan,23.400893539952413,26,7,20,0,0,0,23
R002779,Ann Arbor,Ann Arbor,20.561768281538264,14,1,3,0,0,0,8
R002780,Northern California,Marin County,13.136195663462829,11,4,9,0,0,0,8
R002781,Southern California,Los Angeles,3.668795308881633,7,3,6,0,0,0,6
R002782,Greater NYC,Lower Manhattan–North Brooklyn,2.773503231033869,2,2,2,0,0,0,2
R002783,Greater NYC,Uptown Manhattan,5.36628870156245,8,4,8,0,0,0,7
R002784,Greater NYC,Uptown Manhattan,4.127779693241797,7,2,5,0,0,0,6
R002785,Southern California,Pasadena,3.5900765159273917,5,1,4,0,0,0,5
R002786,Greater NYC,Westchester,6.990190635456798,3,2,3,0,0,0,3
R002787,Southern California,Los Angeles,1.0197819058963118,0,0,0,0,0,0,0
R002788,Greater NYC,Midtown Manhattan,23.884294162925187,31,4,19,0,0,0,24
R002789,Boston,Boston,9.392219671186773,10,2,6,0,0,0,3
R002790,Boston,Boston,9.220735305191551,11,2,7,0,0,0,3
R002791,Chicago,Chicago,6.836521806362932,3,1,3,0,0,0,3
R002792,Southern California,Los Angeles,4.343071050122556,4,1,3,0,0,0,3
R002793,Northern California,Silicon Valley,6.733667141495548,6,2,5,0,0,0,4
R002794,Greater NYC,Lower Manhattan–North Brooklyn,5.742380376236534,7,3,4,0,0,0,5
R002795,Southern California,Los Angeles,7.1673310800860115,6,2,5,0,0,0,2
R002796,Northern California,Marin County,2.566016610090582,2,1,2,0,0,0,2
R002797,Philadelphia,Main Line,4.399000780835504,6,2,3,0,0,0,6
R002798,Southern California,Los Angeles,1.0,1,1,1,0,0,0,0
R002799,Greater NYC,Hudson County,8.037833437613205,9,1,8,0,0,0,7
R002800,Dallas,Dallas,31.92408690069095,28,1,8,1,0,0,16
R002801,Southern California,Los Angeles,2.100225400786567,0,0,0,0,0,0,0
R002802,Greater NYC,Lower Manhattan–North Brooklyn,11.915441002493722,19,6,14,0,0,0,17
R002803,Greater NYC,Uptown Manhattan,5.416132801249259,4,2,4,0,0,0,4
R002804,Greater NYC,Midtown Manhattan,1.0,0,0,0,0,0,0,0
R002805,Greater NYC,Uptown Manhattan,1.999451767940851,3,2,3,0,0,0,2
R002806,Northern California,San Francisco,24.783984029380168,28,3,12,1,0,0,15
R002807,Greater NYC,Lower Manhattan–North Brooklyn,1.0,2,1,1,0,0,0,2
R002808,Greater NYC,Nassau County,1.5567310279935986,2,1,2,0,0,0,2
R002809,Southern California,Los Angeles,47.82109157542169,49,3,13,0,0,0,19
R002810,Greater NYC,Uptown Manhattan,1.352404435753802,0,0,0,0,0,0,0
R002811,Philadelphia,Main Line,3.258561761234598,2,1,2,0,0,0,2
R002812,Greater NYC,Uptown Manhattan,1.804707722497233,2,2,2,0,0,0,2
R002813,DMV,DC–Arlington,1.2722008615428866,1,1,1,0,0,0,1
R002814,Greater NYC,Lower Manhattan–North Brooklyn,6.5265119423708775,5,3,5,0,0,0,3
R002815,Greater NYC,Lower Manhattan–North Brooklyn,3.1228222038674764,4,4,4,0,0,0,3
R002816,Northern California,San Francisco,2.5679759359051895,2,1,2,0,0,0,1
R002817,Greater NYC,Fairfield County,56.719423511508126,48,4,18,0,0,0,33
R002818,Ann Arbor,Ann Arbor,56.27410354514207,58,1,3,3,0,0,27
R002819,Greater NYC,Nassau County,6.603134429862038,7,2,6,0,0,0,5
R002820,Greater NYC,Midtown Manhattan,3.3564496054540127,6,4,6,0,0,0,5
R002821,Greater NYC,North Jersey,8.534693181750924,7,2,7,0,0,0,5
R002822,Greater NYC,Midtown Manhattan,17.29397258914836,22,4,16,0,0,0,16
R002823,Greater NYC,Lower Manhattan–North Brooklyn,3.6361328059808744,4,3,4,0,0,0,4
R002824,Dallas,Dallas,5.487501296766157,2,1,1,0,0,0,2
R002825,Austin,Austin,6.683278994552346,5,1,4,0,0,0,4
R002826,Northern California,San Francisco,1.057845704788012,1,1,1,0,0,0,1
R002827,Greater NYC,Westchester,4.977395258704929,10,3,7,0,0,0,6
R002828,Greater NYC,Fairfield County,1.6016398016761528,1,1,1,0,0,0,1
R002829,Southern California,Los Angeles,2.1469833091612376,2,1,2,0,0,0,2
R002830,Southern California,Los Angeles,8.908541446640923,11,4,7,0,0,0,6
R002831,Greater NYC,Midtown Manhattan,3.295522195001009,4,3,4,0,0,0,4
R002832,Houston,Houston,40.4549257265932,41,1,9,3,0,0,23
R002833,Greater NYC,Midtown Manhattan,3.951205377949104,3,3,3,0,0,0,2
R002834,Philadelphia,Philadelphia,3.2428373567897455,5,1,4,0,0,0,4
R002835,Dallas,Dallas,1.017017604711984,1,1,1,0,0,0,1
R002836,Greater NYC,Midtown Manhattan,5.374308976259481,5,3,4,0,0,0,5
R002837,Southern California,Los Angeles,21.28051723033235,19,3,10,0,0,0,16
R002838,Northern California,San Francisco,12.866769435510667,12,2,8,0,0,0,8
R002839,Northern California,San Francisco,7.113322526426688,6,3,5,0,0,0,2
R002840,Philadelphia,Main Line,8.053614282277753,5,2,3,0,0,0,5
R002841,Boston,Boston,1.0,1,1,1,0,0,0,0
R002842,Greater NYC,Fairfield County,18.119242211283325,15,5,10,0,0,0,10
R002843,Greater NYC,Westchester,1.932741441130424,2,2,2,0,0,0,1
R002844,Greater NYC,Uptown Manhattan,4.913625664424376,8,2,7,0,0,0,8
R002845,Greater NYC,Lower Manhattan–North Brooklyn,3.838604760709239,7,4,7,0,0,0,7
R002846,Boston,Chestnut Hill,2.6624980125743796,3,1,2,0,0,0,2
R002847,Southern California,Los Angeles,4.576500359448742,9,3,8,0,0,0,4
R002848,South Florida,Miami,3.204616286490742,4,2,4,0,0,0,4
R002849,Northern California,San Francisco,7.317474850138352,10,3,7,0,0,0,5
R002850,Greater NYC,Westchester,1.857954800991801,0,0,0,0,0,0,0
R002851,Chicago,Chicago,9.81173272464294,12,2,6,1,0,0,9
R002852,Greater NYC,Midtown Manhattan,1.0,1,1,1,0,0,0,1
R002853,DMV,DC–Arlington,9.400230466270164,6,2,5,0,0,0,5
R002854,South Florida,Miami,8.15455223601148,7,2,4,0,0,0,7
R002855,Greater NYC,Fairfield County,2.015492004860871,0,0,0,0,0,0,0
R002856,Philadelphia,Main Line,47.473366342122034,58,1,8,1,0,0,39
R002857,Greater NYC,Fairfield County,3.810336911087397,1,1,1,0,0,0,1
R002858,Greater NYC,Midtown Manhattan,1.0,0,0,0,0,0,0,0
R002859,Greater NYC,Westchester,10.149613108758588,12,3,8,0,0,0,7
R002860,Greater NYC,Lower Manhattan–North Brooklyn,55.65525430974361,60,7,35,0,0,0,50
R002861,Greater NYC,Lower Manhattan–North Brooklyn,1.302951360065054,1,1,1,0,0,0,1
R002862,South Florida,Miami,1.806463214582868,3,2,3,0,0,0,2
R002863,Greater NYC,Lower Manhattan–North Brooklyn,3.7606442087999503,5,3,5,0,0,0,4
R002864,Northern California,San Francisco,1.5447383851502794,1,1,1,0,0,0,1
R002865,Greater NYC,Uptown Manhattan,1.3101002921634035,5,1,4,0,0,0,4
R002866,South Florida,Miami,8.379885250013658,12,2,5,0,0,0,5
R002867,Greater NYC,Westchester,2.15768679028459,6,3,6,0,0,0,6
R002868,DMV,DC–Arlington,6.368780155791949,10,3,10,0,0,0,7
R002869,Boston,Boston,1.0803835356423892,1,1,1,0,0,0,1
R002870,Southern California,Los Angeles,13.796334770294548,13,4,10,0,0,0,6
R002871,Greater NYC,Lower Manhattan–North Brooklyn,13.625050428875497,13,5,11,0,0,0,12
R002872,Southern California,Los Angeles,5.2762004181752795,4,2,4,0,0,0,2
R002873,Boston,Boston,6.775058424873026,9,2,7,0,0,0,7
R002874,Boston,Chestnut Hill,20.587826734313143,26,1,9,0,0,0,20
R002875,Greater NYC,Lower Manhattan–North Brooklyn,8.062787369900347,9,4,8,0,0,0,7
R002876,Greater NYC,Lower Manhattan–North Brooklyn,68.83835527139905,63,8,37,0,0,0,50
R002877,Greater NYC,Uptown Manhattan,17.704174834473566,16,2,9,0,0,0,13
R002878,Greater NYC,Lower Manhattan–North Brooklyn,4.8408181982698775,5,3,5,0,0,0,4
R002879,Greater NYC,Uptown Manhattan,2.249849954281125,2,2,1,0,0,0,2
R002880,Northern California,San Francisco,2.7264096608865778,3,1,3,0,0,0,2
R002881,Northern California,Marin County,18.30008985617948,21,2,8,0,0,0,17
R002882,Dallas,Dallas,1.0,1,1,1,0,0,0,1
R002883,Atlanta,Atlanta,11.15806143361884,11,1,3,0,0,0,8
R002884,South Florida,Miami,1.0,0,0,0,0,0,0,0
R002885,Southern California,Los Angeles,24.19429069893422,22,3,12,0,0,0,14
R002886,Northern California,San Francisco,20.80571816992018,16,2,10,0,0,0,12
R002887,Greater NYC,Uptown Manhattan,13.817987803430404,15,3,11,0,0,0,11
R002888,Greater NYC,Lower Manhattan–North Brooklyn,1.3437453768244765,2,2,2,0,0,0,2
R002889,Greater NYC,Lower Manhattan–North Brooklyn,1.009745674954633,0,0,0,0,0,0,0
R002890,Greater NYC,Midtown Manhattan,4.576512936891196,5,4,5,0,0,0,5
R002891,Greater NYC,Midtown Manhattan,4.238504931788459,4,2,4,0,0,0,3
R002892,Greater NYC,North Jersey,1.0054808013604293,1,1,1,0,0,0,1
R002893,Greater NYC,Uptown Manhattan,2.515968306146981,2,2,2,0,0,0,2
R002894,Seattle,Seattle,7.878993075870078,8,1,5,0,0,0,6
R002895,Dallas,Dallas,71.6996281316515,80,1,9,1,0,0,49
R002896,Greater NYC,Midtown Manhattan,1.0,0,0,0,0,0,0,0
R002897,Northern California,Marin County,31.25882314648107,26,2,12,0,0,0,14
R002898,Ann Arbor,Ann Arbor,1.0,0,0,0,0,0,0,0
R002899,Northern California,San Francisco,7.42489848180793,8,2,8,0,0,0,8
R002900,Dallas,Dallas,9.887015233563185,9,1,5,0,0,0,8
R002901,Greater NYC,Lower Manhattan–North Brooklyn,2.3194990191371505,2,2,2,0,0,0,1
R002902,Greater NYC,Fairfield County,5.859850933023862,5,3,4,0,0,0,5
R002903,Chicago,Chicago,20.544977777965823,13,2,8,0,0,0,8
R002904,Chicago,Chicago,2.7582754879423588,4,2,4,0,0,0,2
R002905,Greater NYC,Uptown Manhattan,1.6694021198184792,1,1,1,0,0,0,1
R002906,South Florida,Miami,1.7415851274026366,3,2,3,0,0,0,1
R002907,Austin,Austin,6.746873598049322,9,1,6,0,0,0,6
R002908,Greater NYC,Uptown Manhattan,4.153480906110527,1,1,1,0,0,0,0
R002909,Greater NYC,Lower Manhattan–North Brooklyn,14.04926127882896,10,5,9,0,0,0,9
R002910,Northern California,San Francisco,4.828058668052679,6,1,3,0,0,0,3
R002911,Chicago,Chicago,2.3861683827662183,2,1,2,0,0,0,2
R002912,Chicago,Chicago,6.099985300132777,4,1,4,0,0,0,2
R002913,Greater NYC,Westchester,18.443670068240248,23,3,15,0,0,0,20
R002914,DMV,DC–Arlington,5.138980241903655,6,3,6,0,0,0,4
R002915,Chicago,Chicago,41.733463925147674,43,2,11,2,0,0,29
R002916,Houston,Houston,1.0,0,0,0,0,0,0,0
R002917,Greater NYC,Lower Manhattan–North Brooklyn,24.05138773473413,26,6,20,0,0,0,23
R002918,Greater NYC,Lower Manhattan–North Brooklyn,1.0536538291287525,1,1,1,0,0,0,1
R002919,Greater NYC,Westchester,7.559957991843056,8,3,8,0,0,0,8
R002920,Southern California,Los Angeles,1.3684015396012414,1,1,1,0,0,0,1
R002921,Greater NYC,Hudson County,2.6580391951519746,4,1,4,0,0,0,3
R002922,Houston,Houston,1.1584648308051817,2,1,2,0,0,0,2
R002923,Greater NYC,Uptown Manhattan,1.4528246401328129,3,2,3,0,0,0,2
R002924,Greater NYC,Nassau County,9.210404051709476,14,2,12,0,0,0,12
R002925,Northern California,San Francisco,1.0,0,0,0,0,0,0,0
R002926,Greater NYC,Lower Manhattan–North Brooklyn,8.287745076995717,8,5,8,0,0,0,8
R002927,Northern California,San Francisco,3.3362509937477345,4,1,3,0,0,0,1
R002928,Boston,Chestnut Hill,1.0,0,0,0,0,0,0,0
R002929,Greater NYC,Uptown Manhattan,89.86536591101772,99,9,43,2,0,0,74
R002930,Southern California,Los Angeles,1.0,0,0,0,0,0,0,0
